,ID_O,Object_Type,Purchase_Date,Object_Age,BB_X1_O,BB_Y1_O,BB_X2_O,BB_Y2_O,ID_A,Animal_Type,Feeding_Time,BB_Y2_A,No_Animals,No_Objects,No_Farmers,is_Raining,Is_UFO
ID_O,1.0,-0.0017567011032766317,-0.001434226804188346,-0.0017310736663155104,-0.0004202187709040456,0.0007744851058577623,-0.0004202187709040456,0.0016837872165190977,2.5518928940059002e-05,-0.00022164878934513013,0.0003271417803397076,3.088719591450146e-05,5.104365431517654e-05,0.5001733133962977,-0.0010801891130965851,-0.00024512764875379145,0.007291131425464378
Object_Type,-0.0017567011032766317,1.0,0.43927852247300786,0.29255311962363206,0.000289699076299558,0.0007126708944889239,0.000289699076299558,-0.3436503323313504,0.0002738337610988887,-6.675575847375434e-05,-0.0004072829575503204,0.0005231151035527579,0.000547729721485838,-0.00018162411952778342,-0.0020796483122585336,0.002181273916498885,-0.005650682305239866
Purchase_Date,-0.001434226804188346,0.43927852247300786,1.0,0.66274915345925,-0.0013231143791631842,0.001768490175100199,-0.0013231143791631842,-0.39923256711481975,-0.0008211740872880307,-0.00046760935279071273,-0.00011845735664658665,-0.00047740968154898363,-0.0016425346981303966,-0.0016576253474669363,-0.0016661747616647635,0.0015480173744857884,-0.018418286489147312
Object_Age,-0.0017310736663155104,0.29255311962363206,0.66274915345925,1.0,-0.002701402406500901,0.0034772812579273167,-0.002701402406500901,-0.2630999108396319,-0.00013512046783645205,0.0003672790727035613,-0.0004735723187890189,-0.00024730917745371104,-0.0002702716272739806,-0.0007976825336971092,-0.0020615867225920515,0.0006964254342310623,-0.011699482667556129
BB_X1_O,-0.0004202187709040456,0.000289699076299558,-0.0013231143791631842,-0.002701402406500901,1.0,0.0012698312394893983,1.0,0.0016507450902372382,-0.0005400809634555767,-0.00016987697885526403,0.0008004159347962106,-0.0003838746576467977,-0.0010802846022622563,0.0005067173425437357,-0.001963627620589873,0.00027411288002958487,-0.001013662471229061
BB_Y1_O,0.0007744851058577623,0.0007126708944889239,0.001768490175100199,0.0034772812579273167,0.0012698312394893983,1.0,0.0012698312394893983,0.8864358332377262,-0.00026766053929358074,-0.0002238329708505799,6.856026416087007e-05,-0.00021251373240563338,-0.0005353818756763131,0.00033325428420356824,-0.0024180237193016764,0.0006146518431835733,-0.0011514395302288508
BB_X2_O,-0.0004202187709040456,0.000289699076299558,-0.0013231143791631842,-0.002701402406500901,1.0,0.0012698312394893983,1.0,0.0016507450902372382,-0.0005400809634555767,-0.00016987697885526403,0.0008004159347962106,-0.0003838746576467977,-0.0010802846022622563,0.0005067173425437357,-0.001963627620589873,0.00027411288002958487,-0.001013662471229061
BB_Y2_O,0.0016837872165190977,-0.3436503323313504,-0.39923256711481975,-0.2630999108396319,0.0016507450902372382,0.8864358332377262,0.0016507450902372382,1.0,-2.923842857775192e-05,-2.8139316342882336e-05,0.00013778140637629618,-0.00028010266582359137,-5.848349844599512e-05,0.0007888757657567552,-0.0009803319671423298,-0.0004296106758505225,0.006191989007267895
ID_A,2.5518928940059002e-05,0.0002738337610988887,-0.0008211740872880307,-0.00013512046783645205,-0.0005400809634555767,-0.00026766053929358074,-0.0005400809634555767,-2.923842857775192e-05,1.0,0.0003037818998868298,0.0004843827947622989,-0.0011928877694378517,0.4999432208167394,5.10201729155985e-05,-0.0006338079879791164,0.0002766119026535302,0.02056187267454883
Animal_Type,-0.00022164878934513013,-6.675575847375434e-05,-0.00046760935279071273,0.0003672790727035613,-0.00016987697885526403,-0.0002238329708505799,-0.00016987697885526403,-2.8139316342882336e-05,0.0003037818998868298,1.0,0.3190841721587183,0.1255828516316841,-0.0008007387964589017,-0.0004431439731077359,0.0016703012494332422,0.0011660552163634988,-0.026004332909889134
Feeding_Time,0.0003271417803397076,-0.0004072829575503204,-0.00011845735664658665,-0.0004735723187890189,0.0008004159347962106,6.856026416087007e-05,0.0008004159347962106,0.00013778140637629618,0.0004843827947622989,0.3190841721587183,1.0,0.05134049204476328,0.0003562799687422032,0.0006540568470533432,0.0010809627189712042,-0.00032833123338931705,-0.0055359889959489495
BB_Y2_A,3.088719591450146e-05,0.0005231151035527579,-0.00047740968154898363,-0.00024730917745371104,-0.0003838746576467977,-0.00021251373240563338,-0.0003838746576467977,-0.00028010266582359137,-0.0011928877694378517,0.1255828516316841,0.05134049204476328,1.0,0.0001370882793009772,6.175298658809123e-05,0.001566885407024993,0.00013802388265067892,-0.0020982116952727482
No_Animals,5.104365431517654e-05,0.000547729721485838,-0.0016425346981303966,-0.0002702716272739806,-0.0010802846022622563,-0.0005353818756763131,-0.0010802846022622563,-5.848349844599512e-05,0.4999432208167394,-0.0008007387964589017,0.0003562799687422032,0.0001370882793009772,1.0,0.00010205193468685766,-0.001267759940722657,0.0005532866356396399,0.04112841582362571
No_Objects,0.5001733133962977,-0.00018162411952778342,-0.0016576253474669363,-0.0007976825336971092,0.0005067173425437357,0.00033325428420356824,0.0005067173425437357,0.0007888757657567552,5.10201729155985e-05,-0.0004431439731077359,0.0006540568470533432,6.175298658809123e-05,0.00010205193468685766,1.0,-0.002159629640666128,-0.0004900854207519691,0.014577209999433505
No_Farmers,-0.0010801891130965851,-0.0020796483122585336,-0.0016661747616647635,-0.0020615867225920515,-0.001963627620589873,-0.0024180237193016764,-0.001963627620589873,-0.0009803319671423298,-0.0006338079879791164,0.0016703012494332422,0.0010809627189712042,0.001566885407024993,-0.001267759940722657,-0.002159629640666128,1.0,0.0017056083056027033,0.00160485715409448
is_Raining,-0.00024512764875379145,0.002181273916498885,0.0015480173744857884,0.0006964254342310623,0.00027411288002958487,0.0006146518431835733,0.00027411288002958487,-0.0004296106758505225,0.0002766119026535302,0.0011660552163634988,-0.00032833123338931705,0.00013802388265067892,0.0005532866356396399,-0.0004900854207519691,0.0017056083056027033,1.0,0.001225158248458734
Is_UFO,0.007291131425464378,-0.005650682305239866,-0.018418286489147312,-0.011699482667556129,-0.001013662471229061,-0.0011514395302288508,-0.001013662471229061,0.006191989007267895,0.02056187267454883,-0.026004332909889134,-0.0055359889959489495,-0.0020982116952727482,0.04112841582362571,0.014577209999433505,0.00160485715409448,0.001225158248458734,1.0
